Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
154,21,0,0,39,4.8,1,1,4.8,6,1,3,7
155,19,1,2,66,3.5,6,0,8.5,7,2,2,5
156,20,0,2,73,4.2,1,1,7.4,5,1,4,8
157,22,1,0,91,4.7,0,1,4.7,6,2,3,7
158,21,0,0,59,3.4,1,0,8.6,8,1,2,5
159,19,1,2,10,4.1,6,1,7.5,5,2,4,8
160,20,0,2,39,4.6,1,1,4.6,6,1,3,7
161,19,0,2,10,5.3,1,1,6.1,5,2,3,7
162,21,1,0,39,4.8,0,0,7.2,7,1,2,6
163,20,0,2,66,5.5,6,1,5.9,6,2,4,8
164,22,1,0,73,4.7,1,1,6.3,5,1,3,7
165,19,0,2,91,5.1,0,0,7.0,7,2,2,5
166,21,1,0,59,5.4,6,1,6.0,6,1,4,8
167,20,0,2,10,4.9,1,1,6.4,5,2,3,7
168,22,1,0,39,5.2,0,0,7.1,7,1,2,6
169,19,0,2,66,5.6,6,1,5.8,6,2,4,8
170,21,1,0,73,4.6,1,1,6.5,5,1,3,7
171,20,0,2,91,5.0,0,0,7.3,7,2,2,5
172,22,1,0,59,5.3,6,1,5.7,6,1,4,8
173,19,0,2,10,4.8,1,1,6.6,5,2,3,7
174,21,1,0,39,5.1,0,0,7.4,7,1,2,6
175,20,0,2,66,5.7,6,1,5.6,6,2,4,8
176,22,1,0,73,4.5,1,1,6.7,5,1,3,7
177,19,0,2,91,4.9,0,0,7.5,7,2,2,5
178,21,1,0,59,5.2,6,1,5.5,6,1,4,8
179,20,0,2,10,4.7,1,1,6.8,5,2,3,7
180,22,1,0,39,5.0,0,0,7.6,7,1,2,6
181,19,0,2,66,5.8,6,1,5.4,6,2,4,8
182,21,1,0,73,4.4,1,1,6.9,5,1,3,7
183,20,0,2,91,4.8,0,0,7.7,7,2,2,5
184,22,1,0,59,5.1,6,1,5.3,6,1,4,8
185,19,0,2,10,4.6,1,1,7.0,5,2,3,7
186,21,1,0,39,4.9,0,0,7.8,7,1,2,6
187,20,0,2,66,5.9,6,1,5.2,6,2,4,8
188,22,1,0,73,4.3,1,1,7.1,5,1,3,7
189,19,0,2,91,4.7,0,0,7.9,7,2,2,5
190,21,1,0,59,5.0,6,1,5.1,6,1,4,8
191,20,0,2,10,4.5,1,1,7.2,5,2,3,7
192,22,1,0,39,4.8,0,0,8.0,7,1,2,6
193,19,0,2,66,6.0,6,1,5.0,6,2,4,8
194,21,1,0,73,4.2,1,1,7.3,5,1,3,7
195,20,0,2,91,4.6,0,0,8.1,7,2,2,5
196,22,1,0,59,4.9,6,1,4.9,6,1,4,8
197,19,0,2,10,4.4,1,1,7.4,5,2,3,7
198,21,1,0,39,4.7,0,0,8.2,7,1,2,6
199,20,0,2,66,6.1,6,1,4.8,6,2,4,8
200,22,1,0,73,4.1,1,1,7.5,5,1,3,7
201,19,0,2,91,4.5,0,0,8.3,7,2,2,5
202,21,1,0,59,4.8,6,1,4.7,6,1,4,8
203,20,0,2,10,4.3,1,1,7.6,5,2,3,7
204,22,1,0,39,4.6,0,0,8.4,7,1,2,6
205,19,0,2,66,6.2,6,1,4.6,6,2,4,8
206,21,1,0,73,4.0,1,1,7.7,5,1,3,7
207,20,0,2,91,4.4,0,0,8.5,7,2,2,5
208,22,1,0,59,4.7,6,1,4.5,6,1,4,8
209,19,0,2,10,4.2,1,1,7.8,5,2,3,7
210,21,1,0,39,4.5,0,0,8.6,7,1,2,6
211,20,0,2,66,6.3,6,1,4.4,6,2,4,8
212,22,1,0,73,3.9,1,1,7.9,5,1,3,7
213,19,0,2,91,4.3,0,0,8.7,7,2,2,5
214,21,1,0,59,4.6,6,1,4.3,6,1,4,8
215,20,0,2,10,4.1,1,1,8.0,5,2,3,7
216,22,1,0,39,4.4,0,0,8.8,7,1,2,6
217,19,0,2,66,6.4,6,1,4.2,6,2,4,8
218,21,1,0,73,3.8,1,1,8.1,5,1,3,7
219,20,0,2,91,4.2,0,0,8.9,7,2,2,5
220,22,1,0,59,4.5,6,1,4.1,6,1,4,8
221,19,0,2,102,6.5,1,1,6.0,5,2,4,9
222,21,1,0,101,5.8,6,1,6.5,6,1,3,7
223,20,0,2,5,4.5,1,0,7.5,8,2,2,5
224,22,1,0,33,4.2,0,0,7.8,7,1,2,4
225,19,0,2,46,3.8,3,0,7.9,8,2,1,3
226,21,1,0,44,5.5,1,1,6.8,6,2,3,7
227,20,0,2,89,5.2,2,1,6.5,6,1,3,6
228,22,1,0,82,4.8,8,0,7.2,7,2,2,5
229,19,0,2,102,7.0,6,1,5.8,4,1,4,9
230,21,1,0,101,5.5,1,1,6.7,6,2,3,7
231,20,0,2,5,4.7,0,0,7.4,7,1,2,5
232,22,1,0,33,4.0,1,0,7.9,8,2,1,4
233,19,0,2,46,3.5,3,0,8.0,8,2,1,3
234,21,1,0,44,5.7,6,1,6.5,5,1,3,8
235,20,0,2,89,5.0,2,1,6.8,6,2,3,6
236,22,1,0,82,4.5,8,0,7.4,7,1,2,5
237,19,0,2,102,6.8,1,1,5.9,4,2,4,9
238,21,1,0,101,5.6,0,1,6.6,6,1,3,7
239,20,0,2,5,4.6,1,0,7.3,7,2,2,5
240,22,1,0,33,4.1,0,0,7.7,8,1,2,4
241,19,0,2,46,3.7,3,0,7.8,8,2,1,3
242,21,1,0,44,5.4,1,1,6.7,5,2,3,7
243,20,0,2,89,5.1,2,1,6.6,6,1,3,6
244,22,1,0,82,4.7,8,0,7.3,7,2,2,5
245,19,0,2,102,6.9,6,1,5.7,4,1,4,9
246,21,1,0,101,5.7,1,1,6.4,6,2,3,7
247,20,0,2,5,4.8,0,0,7.2,7,1,2,5
248,22,1,0,33,3.9,1,0,7.8,8,2,1,4
249,19,0,2,46,3.6,3,0,8.1,8,2,1,3
250,21,1,0,44,5.6,6,1,6.6,5,1,3,8
251,20,0,2,89,4.9,2,1,6.9,6,2,3,6
252,22,1,0,82,4.6,8,0,7.5,7,1,2,5
253,19,0,2,102,6.7,1,1,5.8,4,2,4,9
254,21,1,0,101,5.4,0,1,6.5,6,1,3,7
255,20,0,2,5,4.4,1,0,7.4,7,2,2,5
256,22,1,0,33,4.0,0,0,7.6,8,1,2,4
257,19,0,2,46,3.4,3,0,8.2,8,2,1,3
258,21,1,0,44,5.3,1,1,6.8,5,2,3,7
259,20,0,2,89,5.0,2,1,6.7,6,1,3,6
260,22,1,0,82,4.4,8,0,7.6,7,2,2,5
261,19,0,2,102,6.6,6,1,5.6,4,1,4,9
262,21,1,0,101,5.3,1,1,6.3,6,2,3,7
263,20,0,2,5,4.3,0,0,7.5,7,1,2,5
264,22,1,0,33,3.8,1,0,7.7,8,2,1,4
265,19,0,2,46,3.3,3,0,8.3,8,2,1,3
266,21,1,0,44,5.2,6,1,6.9,5,1,3,8
267,20,0,2,89,4.8,2,1,7.0,6,2,3,6
268,22,1,0,82,4.3,8,0,7.7,7,1,2,5
269,19,0,2,102,6.4,1,1,5.7,4,2,4,9
270,21,1,0,101,5.2,0,1,6.4,6,1,3,7
271,20,0,2,5,4.5,1,0,7.3,7,2,2,5
272,22,1,0,33,3.7,0,0,7.8,8,1,1,4
273,19,0,2,46,3.2,3,0,8.4,8,2,1,3
274,21,1,0,44,5.4,1,1,6.7,5,2,3,7
275,20,0,2,89,4.7,2,1,7.1,6,1,3,6
276,22,1,0,82,4.2,8,0,7.8,7,2,2,5
277,19,0,2,102,6.6,6,1,5.5,4,1,4,9
278,21,1,0,101,5.1,1,1,6.5,6,2,3,7
279,20,0,2,5,4.4,0,0,7.4,7,1,2,5
280,22,1,0,33,3.6,1,0,7.9,8,2,1,4
281,19,0,2,46,3.1,3,0,8.5,8,2,1,3
282,21,1,0,44,5.3,6,1,6.8,5,1,3,8
283,20,0,2,89,4.6,2,1,7.2,6,2,3,6
284,22,1,0,82,4.1,8,0,7.9,7,1,2,5
285,19,0,2,102,6.7,1,1,5.4,4,2,4,9
286,21,1,0,101,5.0,0,1,6.6,6,1,3,7
287,20,0,2,5,4.3,1,0,7.5,7,2,2,5
288,22,1,0,33,3.5,0,0,8.0,8,1,1,4
289,19,0,2,46,3.0,3,0,8.6,8,2,1,3
290,21,1,0,44,5.2,1,1,6.9,5,2,3,7
291,20,0,2,89,4.5,2,1,7.3,6,1,3,6
292,22,1,0,82,4.0,8,0,8.0,7,2,2,5
293,19,0,2,102,6.8,6,1,5.3,4,1,4,9
294,21,1,0,101,4.9,1,1,6.7,6,2,3,7
295,20,0,2,5,4.2,0,0,7.6,7,1,2,5
296,22,1,0,33,3.4,1,0,8.1,8,2,1,4
297,19,0,2,46,2.9,3,0,8.7,8,2,1,3
298,21,1,0,44,5.1,6,1,7.0,5,1,3,8
299,20,0,2,89,4.4,2,1,7.4,6,2,3,6
300,22,1,0,82,3.9,8,0,8.1,7,1,2,5
301,19,0,2,102,6.9,1,1,5.2,4,2,4,9
302,21,1,0,101,4.8,0,1,6.8,6,1,3,7
303,20,0,2,5,4.1,1,0,7.7,7,2,2,5
304,22,1,0,33,3.3,0,0,8.2,8,1,1,4
305,19,0,2,46,2.8,3,0,8.8,8,2,1,3
306,21,1,0,44,5.0,1,1,7.1,5,2,3,7
307,20,0,2,89,4.3,2,1,7.5,6,1,3,6
308,22,1,0,82,3.8,8,0,8.2,7,2,2,5
309,19,0,2,102,7.0,6,1,5.1,4,1,4,9
310,21,1,0,101,4.7,1,1,6.9,6,2,3,7
311,20,0,2,5,4.0,0,0,7.8,7,1,2,5
312,22,1,0,33,3.2,1,0,8.3,8,2,1,4
313,19,0,2,46,2.7,3,0,8.9,8,2,1,3
314,21,1,0,44,4.9,6,1,7.2,5,1,3,8
315,20,0,2,89,4.2,2,1,7.6,6,2,3,6
316,22,1,0,82,3.7,8,0,8.3,7,1,2,5
317,19,0,2,102,7.1,1,1,5.0,4,2,4,9
318,21,1,0,101,4.6,0,1,7.0,6,1,3,7
319,20,0,2,5,3.9,1,0,7.9,7,2,2,5
320,22,1,0,33,3.1,0,0,8.4,8,1,1,4
321,19,0,2,90,5.2,1,1,6.8,6,2,3,7
322,21,1,0,26,4.1,0,0,7.8,8,1,2,4
323,20,0,2,42,5.0,1,1,7.0,7,2,3,6
324,22,1,0,39,5.8,10,1,6.5,5,1,4,8
325,19,0,2,93,4.0,1,0,7.9,8,2,2,4
326,21,1,0,99,5.5,1,1,6.7,6,2,3,7
327,20,0,2,102,6.8,6,1,5.5,5,1,4,9
328,22,1,0,61,5.6,10,1,6.6,6,2,3,7
329,19,0,2,31,4.5,1,0,7.5,7,1,2,5
330,21,1,0,18,5.3,1,1,6.9,6,2,3,7
331,20,0,2,90,5.1,6,1,6.7,6,2,3,7
332,22,1,0,26,3.9,0,0,7.9,8,1,2,4
333,19,0,2,42,4.8,1,1,7.1,7,2,3,6
334,21,1,0,39,5.9,10,1,6.4,5,1,4,8
335,20,0,2,93,3.8,1,0,8.0,8,2,2,4
336,22,1,0,99,5.4,6,1,6.8,6,2,3,7
337,19,0,2,102,6.9,1,1,5.4,5,1,4,9
338,21,1,0,61,5.7,10,1,6.5,6,2,3,7
339,20,0,2,31,4.4,1,0,7.6,7,1,2,5
340,22,1,0,18,5.2,6,1,7.0,6,2,3,7
341,19,0,2,90,5.0,1,1,6.9,6,2,3,7
342,21,1,0,26,3.8,0,0,8.0,8,1,2,4
343,20,0,2,42,4.7,6,1,7.2,7,2,3,6
344,22,1,0,39,6.0,10,1,6.3,5,1,4,8
345,19,0,2,93,3.7,1,0,8.1,8,2,2,4
346,21,1,0,99,5.3,1,1,6.9,6,2,3,7
347,20,0,2,102,7.0,6,1,5.3,5,1,4,9
348,22,1,0,61,5.8,10,1,6.4,6,2,3,7
349,19,0,2,31,4.3,1,0,7.7,7,1,2,5
350,21,1,0,18,5.1,1,1,7.1,6,2,3,7
351,20,0,2,90,4.9,6,1,7.0,6,2,3,7
352,22,1,0,26,3.7,0,0,8.1,8,1,2,4
353,19,0,2,42,4.6,1,1,7.3,7,2,3,6
354,21,1,0,39,6.1,10,1,6.2,5,1,4,8
355,20,0,2,93,3.6,1,0,8.2,8,2,2,4
356,22,1,0,99,5.2,6,1,7.0,6,2,3,7
357,19,0,2,102,7.1,1,1,5.2,5,1,4,9
358,21,1,0,61,5.9,10,1,6.3,6,2,3,7
359,20,0,2,31,4.2,1,0,7.8,7,1,2,5
360,22,1,0,18,5.0,6,1,7.2,6,2,3,7
361,19,0,2,90,4.8,1,1,7.1,6,2,3,7
362,21,1,0,26,3.6,0,0,8.2,8,1,2,4
363,20,0,2,42,4.5,6,1,7.4,7,2,3,6
364,22,1,0,39,6.2,10,1,6.1,5,1,4,8
365,19,0,2,93,3.5,1,0,8.3,8,2,2,4
366,21,1,0,99,5.1,1,1,7.1,6,2,3,7
367,20,0,2,102,7.2,6,1,5.1,5,1,4,9
368,22,1,0,61,6.0,10,1,6.2,6,2,3,7
369,19,0,2,31,4.1,1,0,7.9,7,1,2,5
370,21,1,0,18,4.9,1,1,7.3,6,2,3,7
371,20,0,2,90,4.7,6,1,7.2,6,2,3,7
372,22,1,0,26,3.5,0,0,8.3,8,1,2,4
373,19,0,2,42,4.4,1,1,7.5,7,2,3,6
374,21,1,0,39,6.3,10,1,6.0,5,1,4,8
375,20,0,2,93,3.4,1,0,8.4,8,2,2,4
376,22,1,0,99,5.0,6,1,7.2,6,2,3,7
377,19,0,2,102,7.3,1,1,5.0,5,1,4,9
378,21,1,0,61,6.1,10,1,6.1,6,2,3,7
379,20,0,2,31,4.0,1,0,8.0,7,1,2,5
380,22,1,0,18,4.8,6,1,7.4,6,2,3,7
381,19,0,2,90,4.6,1,1,7.3,6,2,3,7
382,21,1,0,26,3.4,0,0,8.4,8,1,2,4
383,20,0,2,42,4.3,6,1,7.6,7,2,3,6
384,22,1,0,39,6.4,10,1,5.9,5,1,4,8
385,19,0,2,93,3.3,1,0,8.5,8,2,2,4
386,21,1,0,99,4.9,1,1,7.3,6,2,3,7
387,20,0,2,102,7.4,6,1,4.9,5,1,4,9
388,22,1,0,61,6.2,10,1,6.0,6,2,3,7
389,19,0,2,31,3.9,1,0,8.1,7,1,2,5
390,21,1,0,18,4.7,1,1,7.5,6,2,3,7
391,20,0,2,90,4.5,6,1,7.4,6,2,3,7
392,22,1,0,26,3.3,0,0,8.5,8,1,2,4
393,19,0,2,42,4.2,1,1,7.7,7,2,3,6
394,21,1,0,39,6.5,10,1,5.8,5,1,4,8
395,20,0,2,93,3.2,1,0,8.6,8,2,2,4
396,22,1,0,99,4.8,6,1,7.4,6,2,3,7
397,19,0,2,102,7.5,1,1,4.8,5,1,4,9
398,21,1,0,61,6.3,10,1,5.9,6,2,3,7
399,20,0,2,31,3.8,1,0,8.2,7,1,2,5
400,22,1,0,18,4.6,6,1,7.6,6,2,3,7
401,19,0,2,90,4.4,1,1,7.5,6,2,3,7
402,21,1,0,26,3.2,0,0,8.6,8,1,2,4
403,20,0,2,42,4.1,6,1,7.8,7,2,3,6
404,22,1,0,39,6.6,10,1,5.7,5,1,4,8
405,19,0,2,93,3.1,1,0,8.7,8,2,2,4
406,21,1,0,99,4.7,1,1,7.5,6,2,3,7
407,20,0,2,102,7.6,6,1,4.7,5,1,4,9
408,22,1,0,61,6.4,10,1,5.8,6,2,3,7
409,19,0,2,31,3.7,1,0,8.3,7,1,2,5
410,21,1,0,18,4.5,1,1,7.7,6,2,3,7
411,20,0,2,90,4.3,6,1,7.6,6,2,3,7
412,22,1,0,26,3.1,0,0,8.7,8,1,2,4
413,19,0,2,42,4.0,1,1,7.9,7,2,3,6
414,21,1,0,39,6.7,10,1,5.6,5,1,4,8
415,20,0,2,93,3.0,1,0,8.8,8,2,2,4
416,22,1,0,99,4.6,6,1,7.6,6,2,3,7
417,19,0,2,102,7.7,1,1,4.6,5,1,4,9
418,21,1,0,61,6.5,10,1,5.7,6,2,3,7
419,20,0,2,31,3.6,1,0,8.4,7,1,2,5
420,22,1,0,18,4.4,6,1,7.8,6,2,3,7
421,19,0,2,90,4.2,1,1,7.7,6,2,3,7
422,21,1,0,26,3.0,0,0,8.8,8,1,2,4
423,20,0,2,42,3.9,6,1,8.0,7,2,3,6
424,22,1,0,39,6.8,10,1,5.5,5,1,4,8
425,19,0,2,93,2.9,1,0,8.9,8,2,2,4
426,21,1,0,99,4.5,1,1,7.7,6,2,3,7
427,20,0,2,102,7.8,6,1,4.5,5,1,4,9
428,22,1,0,61,6.6,10,1,5.6,6,2,3,7
429,19,0,2,31,3.5,1,0,8.5,7,1,2,5
430,21,1,0,18,4.3,1,1,7.9,6,2,3,7
431,20,0,2,90,4.1,6,1,7.8,6,2,3,7
432,22,1,0,26,2.9,0,0,8.9,8,1,2,4
433,19,0,2,42,3.8,1,1,8.1,7,2,3,6
434,21,1,0,39,6.9,10,1,5.4,5,1,4,8
435,20,0,2,93,2.8,1,0,9.0,8,2,2,4
436,22,1,0,99,4.4,6,1,7.8,6,2,3,7
437,19,0,2,102,7.9,1,1,4.4,5,1,4,9
438,21,1,0,61,6.7,10,1,5.5,6,2,3,7
439,20,0,2,31,3.4,1,0,8.6,7,1,2,5
440,22,1,0,18,4.2,6,1,8.0,6,2,3,7
441,19,0,2,90,4.0,1,1,7.9,6,2,3,7
442,21,1,0,26,2.8,0,0,9.0,8,1,2,4
443,20,0,2,42,3.7,6,1,8.2,7,2,3,6
444,22,1,0,39,7.0,10,1,5.3,5,1,4,8
445,19,0,2,93,2.7,1,0,9.1,8,2,2,4
446,21,1,0,99,4.3,1,1,7.9,6,2,3,7
447,20,0,2,102,8.0,6,1,4.3,5,1,4,9
448,22,1,0,61,6.8,10,1,5.4,6,2,3,7
449,19,0,2,31,3.3,1,0,8.7,7,1,2,5
450,21,1,0,18,4.1,1,1,8.1,6,2,3,7
451,20,0,2,90,3.9,6,1,8.0,6,2,3,7
452,22,1,0,26,2.7,0,0,9.1,8,1,2,4
453,19,0,2,42,3.6,1,1,8.3,7,2,3,6
454,21,1,0,39,7.1,10,1,5.2,5,1,4,8
455,20,0,2,93,2.6,1,0,9.2,8,2,2,4
456,22,1,0,99,4.2,6,1,8.0,6,2,3,7
457,19,0,2,102,8.1,1,1,4.2,5,1,4,9
458,21,1,0,61,6.9,10,1,5.3,6,2,3,7
